15 281 7036
4 12 -0.0257001 -0.178248
4 13 -0.0163597 -0.0722858
4 14 0.209925 -0.24971
4 15 0.365539 -0.425551
4 16 -0.0212943 -0.262736
4 17 0.258037 -0.510038
4 18 0.130267 -0.303219
4 19 0.12216 -0.290898
4 20 0.186662 -0.231933
4 21 -0.0100153 -0.154661
4 22 0.0588922 -0.275937
4 23 0.339985 -0.41411
4 24 0.194064 -0.105025
4 25 -0.23207 -0.512679
4 26 0.159169 -0.343703
4 27 -0.0121301 -0.146213
4 28 -0.0142449 -0.171559
4 29 0.265967 0.00692149
4 30 0.183955 -0.113812
4 31 0.386511 -0.434527
4 32 0.00584579 -0.209579
4 33 -0.0375078 -0.498949
4 34 0.303858 -0.299699
4 35 -0.0375078 -0.425023
4 36 -0.0174171 -0.154661
4 37 0.213097 -0.243374
4 38 0.0728007 -0.214183
4 39 0.386469 -0.434696
4 40 0.273792 -0.247387
4 41 -0.0269338 -0.167546
4 42 0.00123553 -0.109249
4 43 -0.0167827 -0.0788337
4 44 0.212886 -0.243585
4 45 -0.0370848 -0.424811
4 46 0.292825 0.00861123
4 47 -0.0180515 -0.165011
4 48 -0.0269338 -0.231757
4 49 -0.00916936 -0.0686951
4 50 0.237248 -0.062105
4 51 0.302976 -0.391861
4 52 -0.0193204 -0.148536
4 53 0.020015 -0.167546
4 54 0.257297 -0.509722
4 55 -0.0142449 -0.22014
4 56 0.225067 -0.125978
4 57 0.349925 -0.39693
4 58 0.0377794 -0.238516
4 59 -0.0139911 -0.153352
4 60 0.0064126 -0.211446
4 61 0.366674 -0.386031
4 62 -0.0170364 -0.0788336
4 63 -0.0185591 -0.0849168
4 64 0.04387 -0.103166
4 65 -0.00942311 -0.153352
4 66 0.302723 -0.299347
4 67 0.177864 -0.116853
4 68 0.265874 0.00754674
4 69 -0.0136865 -0.153048
4 70 0.211058 -0.24247
4 71 0.273183 -0.24612
4 72 -0.0136865 -0.147573
4 73 0.0721916 -0.213271
4 74 0.194614 -0.238516
4 75 -0.0100322 -0.153048
4 76 -0.0337857 -0.118374
4 77 0.37065 -0.37961
4 78 0.214713 -0.229695
4 79 0.187305 -0.23152
4 80 0.207039 -0.232615
4 81 -0.0100321 -0.151588
4 82 0.207039 -0.245755
4 83 0.0425911 -0.103409
4 84 0.049169 -0.116549
4 85 0.073288 -0.212906
4 86 -0.0297658 -0.208526
4 87 0.0496075 -0.116111
4 88 0.365347 -0.378902
4 89 0.289043 0.00740085
4 90 -0.0345896 -0.118739
4 91 0.244313 -0.210716
4 92 -0.028801 -0.114534
4 93 0.273256 -0.244879
4 94 -0.0509028 -0.23752
4 95 0.17643 -0.43619
4 96 0.299568 -0.297437
4 97 0.274309 0.0116055
4 98 -0.0351158 -0.120841
4 99 0.273017 -0.246894
4 5 -0.0512541 -0.20377
4 6 0.0395065 -0.238973
4 100 0.242176 -0.170327
4 11 0.412241 -0.448433
4 101 -0.0151261 -0.146565
4 15 0.235126 -0.242494
4 16 -0.0168884 -0.154485
4 102 -0.0336307 -0.116642
4 103 0.0430311 -0.102561
4 104 0.20781 -0.248654
4 17 0.2457 -0.250414
4 21 0.359371 -0.377146
4 105 0.186662 -0.230173
4 106 0.042855 -0.102913
4 24 0.411889 -0.449313
4 107 0.283943 0.0079776
4 26 -0.0650003 0.0586703
4 28 -0.0153023 -0.149381
4 32 0.257508 -0.50951
4 108 0.241647 -0.170503
4 109 0.048142 -0.117698
4 110 0.211335 -0.246894
4 111 0.386723 -0.43495
4 38 -0.0624625 -0.261327
4 42 -0.232493 -0.512256
4 112 0.223037 -0.126992
4 113 -0.030106 -0.118402
4 49 -0.0332782 -0.116642
4 114 -0.0174171 -0.0786224
4 51 -0.0155138 -0.146001
4 115 -0.0293273 -0.113483
4 116 0.206541 -0.233446
4 57 -0.00367087 -0.20641
4 117 -0.0155137 -0.0727505
4 62 -0.0307404 -0.116853
4 118 0.330131 -0.386031
4 119 0.241816 -0.170081
4 120 -0.0502304 -0.23882
4 121 -0.0630208 -0.262544
4 70 0.190959 -0.105599
4 122 -0.0155137 -0.169472
4 74 0.206753 -0.232813
4 123 -0.0139911 -0.170081
4 80 0.236639 -0.0618009
4 83 0.299129 -0.392479
4 85 0.364908 -0.38591
4 86 0.290359 -0.265464
4 124 -0.0297658 -0.230425
4 125 0.209231 -0.241375
4 89 0.162747 -0.242251
4 126 -0.0209953 -0.160347
4 127 0.23642 -0.0582969
4 128 0.195374 -0.240674
4 129 0.273256 0.0126566
4 94 -0.028801 -0.123995
